step,loss,samples_processed,tokens_seen
1,0.428993,8,634
2,0.751176,16,1121
3,1.703296,24,1805
4,0.572091,32,2651
5,0.740021,40,3649
6,0.787215,48,4124
7,0.531593,56,4713
8,0.348362,64,5581
9,0.680567,72,6355
10,0.512637,80,7027
11,1.242743,88,7471
12,0.513371,96,7975
13,1.343444,104,8792
14,0.787148,112,9422
15,0.432428,120,9938
16,0.32067,128,10692
17,0.653677,136,11276
18,0.638333,144,11948
19,0.944907,152,12573
20,0.352201,160,13203
21,0.312895,168,13892
22,1.145391,176,14678
23,0.41268,184,15542
24,0.560603,192,16591
25,0.54224,200,17366
26,0.676139,208,18044
27,0.964248,216,18888
28,1.102793,224,19567
29,0.647775,232,20159
30,0.772915,240,20983
31,0.493424,248,21675
32,0.527045,256,22651
33,0.303793,264,23346
34,0.671092,272,24074
35,0.488338,280,24961
36,0.55378,288,25678
37,0.695247,296,26395
38,0.804595,304,27033
39,0.51692,312,27691
40,0.581016,320,28349
41,0.719389,328,29010
42,0.626811,336,29458
43,0.652723,344,30088
44,0.453567,352,30725
45,0.68398,360,31599
46,0.442995,368,32660
47,0.403521,376,33528
48,0.603647,384,34487
49,0.862453,392,35342
50,0.960727,400,36431
51,0.596138,408,37264
52,0.761475,416,38038
53,0.403613,424,38674
54,0.487783,432,39307
55,0.766301,440,40011
56,0.301402,448,40486
57,0.615037,456,41161
58,0.510868,464,41998
59,0.582105,472,42682
60,0.580234,480,43346
61,0.798261,488,43933
62,0.603521,496,44546
63,0.514845,504,45250
64,0.55789,512,46070
65,0.578965,520,47014
66,0.722061,528,47519
67,0.804537,536,48264
68,0.53692,544,48810
69,0.358835,552,49377
70,0.425013,560,49976
71,0.834298,568,50599
72,0.537677,576,51171
73,0.701037,584,51973
74,0.362431,592,52926
75,0.906335,600,53673
76,1.097348,608,54452
77,0.448849,616,55075
78,0.505181,624,55741
79,0.440695,632,56568
80,0.546511,640,57381
81,0.415263,648,58086
82,0.581696,656,58703
83,0.687362,664,59620
84,0.461842,672,60375
85,0.933713,680,61002
86,0.784788,688,61847
87,0.403975,696,62385
88,0.284928,704,63151
89,0.871355,712,63524
90,0.539412,720,64111
91,0.838329,728,64653
92,0.525019,736,65384
93,0.929515,744,66027
94,0.5558,752,66582
95,0.447768,760,67570
96,1.102637,768,68158
97,0.606835,776,68797
98,0.835497,784,69464
99,0.520042,792,70079
100,0.580806,800,70854
101,0.950715,808,71539
102,1.130648,816,72292
103,0.491444,824,73097
104,0.344466,832,73883
105,0.892294,840,74457
106,0.818427,848,75029
107,0.494645,856,75958
108,0.618162,864,76615
109,1.24806,872,77191
110,0.46375,880,78044
111,0.503748,888,78840
112,1.072784,896,79384
113,0.406402,904,79904
114,0.728546,912,80859
115,0.712781,920,81693
116,0.479473,928,82404
117,0.581958,936,82997
118,0.645127,944,83571
119,0.517229,952,84194
120,0.729259,960,84918
121,0.749499,968,85683
122,0.478502,976,86372
123,0.692981,984,86938
124,0.770833,992,87558
125,2.09748,1000,88092
