step,loss,samples_processed,tokens_seen
1,0.754625,8,634
2,0.995492,16,1121
3,0.604822,24,1805
4,0.389306,32,2651
5,1.008893,40,3649
6,0.953074,48,4124
7,0.836847,56,4713
8,0.942648,64,5581
9,0.60938,72,6355
10,0.436121,80,7027
11,0.311646,88,7471
12,0.536916,96,7975
13,0.75835,104,8792
14,1.222784,112,9422
15,0.381967,120,9938
16,0.475981,128,10692
17,0.525955,136,11276
18,0.591607,144,11948
19,0.119316,152,12573
20,1.041083,160,13203
21,0.426155,168,13892
22,1.426653,176,14678
23,0.432236,184,15542
24,0.685393,192,16591
25,0.24172,200,17366
26,0.421966,208,18044
27,0.505816,216,18888
28,0.608725,224,19567
29,0.778094,232,20159
30,0.325215,240,20983
31,0.371854,248,21675
32,0.420805,256,22651
33,0.649485,264,23346
34,0.365602,272,24074
35,0.627372,280,24961
36,0.687663,288,25678
37,0.525667,296,26395
38,0.784503,304,27033
39,0.827013,312,27691
40,0.50223,320,28349
41,0.482533,328,29010
42,0.609805,336,29458
43,0.99113,344,30088
44,0.565029,352,30725
45,0.316804,360,31599
46,0.467622,368,32660
47,0.419561,376,33528
48,0.543088,384,34487
49,0.450731,392,35342
50,0.845915,400,36431
51,0.428234,408,37264
52,0.658468,416,38038
53,0.826841,424,38674
54,0.837291,432,39307
55,0.335601,440,40011
56,0.965698,448,40486
57,0.629895,456,41161
58,0.554192,464,41998
59,0.335504,472,42682
60,0.72739,480,43346
61,0.728409,488,43933
62,0.717003,496,44546
63,0.550023,504,45250
64,0.681174,512,46070
65,0.629146,520,47014
66,0.447926,528,47519
67,0.553061,536,48264
68,0.422416,544,48810
69,0.912814,552,49377
70,1.848802,560,49976
71,0.905018,568,50599
72,0.425297,576,51171
73,0.377104,584,51973
74,0.70477,592,52926
75,0.714897,600,53673
76,0.551539,608,54452
77,0.609306,616,55075
78,0.603505,624,55741
79,0.643562,632,56568
80,0.685896,640,57381
81,0.592804,648,58086
82,0.553371,656,58703
83,0.565082,664,59620
84,0.576825,672,60375
85,0.668465,680,61002
86,0.868689,688,61847
87,0.460813,696,62385
88,0.475533,704,63151
89,1.152721,712,63524
90,1.171352,720,64111
91,0.521514,728,64653
92,0.391195,736,65384
93,0.515414,744,66027
94,0.839745,752,66582
95,0.296901,760,67570
96,0.49314,768,68158
97,0.525095,776,68797
98,0.509245,784,69464
99,0.274767,792,70079
100,0.85001,800,70854
101,0.589774,808,71539
102,0.552824,816,72292
103,0.788265,824,73097
104,0.826482,832,73883
105,0.557864,840,74457
106,0.545523,848,75029
107,0.485329,856,75958
108,0.829886,864,76615
109,0.817042,872,77191
110,0.521325,880,78044
111,0.522155,888,78840
112,0.817524,896,79384
113,1.184819,904,79904
114,0.864343,912,80859
115,0.331166,920,81693
116,0.574112,928,82404
117,0.678986,936,82997
118,0.553331,944,83571
119,0.860062,952,84194
120,1.316177,960,84918
121,0.593595,968,85683
122,0.421806,976,86372
123,0.565158,984,86938
124,0.543864,992,87558
125,1.660364,1000,88092
126,0.513132,1008,88995
127,0.367069,1016,89459
128,0.740077,1024,89989
129,0.343197,1032,90436
130,0.777183,1040,90950
131,0.75675,1048,91515
132,0.367604,1056,92217
133,0.790696,1064,92926
134,0.83176,1072,93517
135,0.658223,1080,93998
136,0.348955,1088,94578
137,0.584875,1096,95410
138,0.731498,1104,95967
139,0.752632,1112,96826
140,0.57986,1120,97388
141,0.710884,1128,98105
142,0.378026,1136,98863
