step,loss,samples_processed,tokens_seen
1,0.609549,4,308
2,0.574069,8,634
3,0.834231,12,912
4,0.789995,16,1121
5,1.357434,20,1421
6,0.822826,24,1805
7,0.483182,28,2091
8,0.398253,32,2651
9,0.722648,36,3062
10,0.977989,40,3649
11,0.703914,44,3916
12,0.923831,48,4124
13,0.587782,52,4468
14,0.757047,56,4713
15,0.707176,60,5060
16,0.405916,64,5581
17,0.784826,68,5844
18,0.520212,72,6355
19,0.556829,76,6672
20,0.4179,80,7027
21,0.476274,84,7267
22,1.081869,88,7471
23,0.404962,92,7776
24,0.651993,96,7975
25,1.152075,100,8290
26,0.934503,104,8792
27,1.059889,108,9037
28,0.89853,112,9422
29,0.490227,116,9692
30,0.30845,120,9938
31,0.327002,124,10254
32,0.442628,128,10692
33,0.669858,132,10946
34,0.423029,136,11276
35,0.622568,140,11536
36,0.664632,144,11948
37,0.347234,148,12269
38,0.675639,152,12573
39,0.557164,156,12830
40,0.875678,160,13203
41,0.459727,164,13575
42,0.260521,168,13892
43,1.779275,172,14217
44,0.660966,176,14678
45,0.517325,180,15098
46,0.353217,184,15542
47,0.56313,188,16227
48,0.67238,192,16591
49,0.589582,196,16783
50,0.263761,200,17366
51,0.494108,204,17804
52,0.602269,208,18044
53,0.799861,212,18546
54,0.638621,216,18888
55,0.737699,220,19155
56,0.991695,224,19567
57,0.62967,228,19883
58,0.770651,232,20159
59,0.664132,236,20531
60,0.444015,240,20983
61,0.393482,244,21380
62,0.501403,248,21675
63,0.399748,252,22378
64,0.555404,256,22651
65,0.661245,260,23079
66,0.335487,264,23346
67,0.527517,268,23657
68,0.516353,272,24074
69,0.687129,276,24542
70,0.398734,280,24961
71,0.856119,284,25420
72,0.371726,288,25678
73,0.594564,292,26058
74,0.474135,296,26395
75,0.903859,300,26783
76,0.62563,304,27033
77,0.769648,308,27413
78,0.567033,312,27691
79,0.578134,316,28097
80,0.498272,320,28349
81,0.525675,324,28712
82,0.642457,328,29010
83,0.561815,332,29320
84,0.716883,336,29458
85,0.796089,340,29793
86,0.834128,344,30088
87,0.503637,348,30427
88,0.492235,352,30725
89,0.58817,356,30918
90,0.399052,360,31599
91,0.524281,364,31887
92,0.431078,368,32660
93,0.261238,372,33051
94,0.553765,376,33528
95,0.465123,380,34001
96,0.701457,384,34487
97,0.839138,388,34891
98,0.522781,392,35342
99,1.38876,396,35744
100,0.417019,400,36431
101,0.404347,404,36654
102,0.628612,408,37264
103,0.820712,412,37543
104,0.516977,416,38038
105,0.604327,420,38427
106,0.663096,424,38674
107,0.594736,428,39147
108,0.628222,432,39307
109,0.630135,436,39735
110,0.403774,440,40011
111,0.626207,444,40276
112,0.651489,448,40486
113,0.700329,452,40839
114,0.567517,456,41161
115,0.42222,460,41624
116,0.657183,464,41998
117,0.485923,468,42416
118,0.427305,472,42682
119,0.553062,476,43056
120,0.78364,480,43346
121,0.790695,484,43675
122,0.712198,488,43933
123,0.428499,492,44221
124,0.980693,496,44546
125,0.41085,500,44935
126,0.634013,504,45250
127,0.524421,508,45593
128,0.629449,512,46070
129,0.438805,516,46721
130,0.747974,520,47014
131,0.611566,524,47283
132,0.572271,528,47519
133,0.748901,532,47847
134,0.619786,536,48264
135,0.55761,540,48561
136,0.397458,544,48810
137,0.44635,548,48991
138,0.873697,552,49377
139,0.831532,556,49667
140,1.145682,560,49976
141,0.922719,564,50198
142,0.832487,568,50599
143,0.401232,572,50866
144,0.526711,576,51171
145,0.272658,580,51605
146,0.838482,584,51973
147,0.289139,588,52433
148,0.683245,592,52926
149,1.06357,596,53298
150,0.610091,600,53673
151,0.740256,604,54099
152,0.901073,608,54452
153,0.388564,612,54924
154,0.959514,616,55075
155,0.690645,620,55377
156,0.475707,624,55741
157,0.485841,628,56346
158,0.677255,632,56568
159,0.545666,636,56913
160,0.707581,640,57381
161,0.26559,644,57794
162,0.727643,648,58086
163,0.655502,652,58351
164,0.517921,656,58703
165,0.509124,660,59117
166,0.757363,664,59620
167,0.223287,668,59960
168,0.796776,672,60375
169,0.933712,676,60647
170,0.657381,680,61002
171,0.88919,684,61343
172,0.737902,688,61847
173,0.340568,692,62100
174,0.52728,696,62385
175,0.16005,700,62819
176,0.655634,704,63151
177,1.134948,708,63319
178,0.837204,712,63524
179,1.29049,716,63748
180,0.445198,720,64111
181,0.578208,724,64379
182,0.786196,728,64653
183,0.535696,732,65050
184,0.397711,736,65384
185,0.727852,740,65715
186,0.726172,744,66027
187,0.787412,748,66249
188,0.55316,752,66582
189,0.241964,756,66970
190,0.514137,760,67570
191,0.364828,764,67961
192,1.159103,768,68158
193,0.90406,772,68418
194,0.254271,776,68797
195,0.637598,780,69243
196,0.715724,784,69464
197,0.342136,788,69778
198,0.473944,792,70079
199,0.407761,796,70647
200,1.012631,800,70854
201,0.67728,804,71241
202,0.91663,808,71539
203,0.651055,812,71825
204,1.042408,816,72292
205,0.77178,820,72739
206,0.509073,824,73097
207,0.474326,828,73602
208,0.658148,832,73883
209,0.967589,836,74137
210,0.512901,840,74457
211,0.448545,844,74699
212,0.919198,848,75029
213,0.511827,852,75522
214,0.482699,856,75958
215,0.745291,860,76249
216,0.640929,864,76615
217,1.239004,868,76948
218,0.863516,872,77191
219,0.437122,876,77601
220,0.522609,880,78044
221,0.498839,884,78334
222,0.516698,888,78840
223,0.576121,892,79126
224,1.352383,896,79384
225,1.03165,900,79619
226,0.735518,904,79904
227,1.164368,908,80320
228,0.431094,912,80859
229,0.560922,916,81280
230,0.501435,920,81693
231,0.489383,924,81978
232,0.593493,928,82404
233,0.512632,932,82696
234,0.73648,936,82997
235,0.661251,940,83253
236,0.650782,944,83571
237,0.920964,948,83826
238,0.509361,952,84194
239,0.59902,956,84545
240,1.232394,960,84918
241,0.61459,964,85406
242,0.724115,968,85683
243,0.607403,972,86054
244,0.399556,976,86372
245,0.843246,980,86647
246,0.466481,984,86938
247,0.750686,988,87207
248,0.610776,992,87558
249,1.96747,996,87853
250,1.02393,1000,88092
