step,loss,samples_processed
1,5.643658,4
2,6.274802,8
3,8.78959,12
4,6.382558,16
5,5.116163,20
6,5.692303,24
7,4.147307,28
8,1.621972,32
9,2.290874,36
10,1.555273,40
11,1.028413,44
12,0.99906,48
13,0.998417,52
14,0.786455,56
15,1.76989,60
16,1.084215,64
17,1.437948,68
18,0.793533,72
19,0.731356,76
20,0.862563,80
21,0.781785,84
22,0.624758,88
23,0.792108,92
24,0.590702,96
25,0.618952,100
26,0.90745,104
27,0.44277,108
28,0.955006,112
29,0.749093,116
30,0.638797,120
31,0.520334,124
32,0.477036,128
33,0.497554,132
34,0.701751,136
35,0.878871,140
36,0.466023,144
37,0.349502,148
38,0.396218,152
39,0.240895,156
40,0.296907,160
41,0.245286,164
42,0.249491,168
43,0.708247,172
44,0.669532,176
45,0.611192,180
46,0.354681,184
47,0.504978,188
48,0.326788,192
49,0.368871,196
50,0.277246,200
51,0.772605,204
52,0.449079,208
53,0.388585,212
54,0.217835,216
55,0.525247,220
56,0.257287,224
57,0.306361,228
58,0.47766,232
59,0.480354,236
60,0.181958,240
61,0.32728,244
62,0.85351,248
63,0.315409,252
64,0.359056,256
65,0.491617,260
66,0.137916,264
67,0.28194,268
68,0.215663,272
69,0.241934,276
70,0.454018,280
71,0.343802,284
72,0.390428,288
73,0.522299,292
74,0.384103,296
75,0.294598,300
76,0.586854,304
77,0.315255,308
78,0.491227,312
79,0.34306,316
80,0.577977,320
81,0.269494,324
82,0.322414,328
83,0.363971,332
84,0.51944,336
85,0.22619,340
86,0.247837,344
87,0.299171,348
88,0.689708,352
89,0.610829,356
90,0.381763,360
91,0.338939,364
92,0.185911,368
93,0.283963,372
94,0.468883,376
95,0.376071,380
96,0.257421,384
97,0.177575,388
98,0.542839,392
99,0.26303,396
100,0.398171,400
101,0.164326,404
102,0.463467,408
103,0.225921,412
104,0.395495,416
105,0.777144,420
106,0.149067,424
107,0.151425,428
108,0.343738,432
109,0.286892,436
110,0.433137,440
111,0.217831,444
112,0.282722,448
113,0.351405,452
114,0.363363,456
115,0.255337,460
116,0.412278,464
117,0.137845,468
118,0.522046,472
119,0.237793,476
120,0.489941,480
121,0.892749,484
122,0.355396,488
123,0.239546,492
124,0.110687,496
125,0.343014,500
126,0.521553,504
127,0.283618,508
128,0.441811,512
129,0.192512,516
130,0.524261,520
131,0.266029,524
132,0.373863,528
133,0.319824,532
134,0.237397,536
135,0.280332,540
136,0.442032,544
137,0.141334,548
138,0.509748,552
139,0.427066,556
140,0.325024,560
141,0.350868,564
142,0.398063,568
143,0.504279,572
144,0.527506,576
145,0.374704,580
146,0.70745,584
147,0.567532,588
148,0.398299,592
149,0.536514,596
150,0.436361,600
151,0.154405,604
152,0.5647,608
153,0.239081,612
154,0.38131,616
155,0.408216,620
156,0.670403,624
157,0.358394,628
158,0.253164,632
159,0.337131,636
160,0.220132,640
161,0.301509,644
162,0.544796,648
163,0.212104,652
164,0.158094,656
165,0.541343,660
166,0.419871,664
167,0.466429,668
168,0.261499,672
169,0.275621,676
170,0.2919,680
171,0.487084,684
172,0.379021,688
173,0.153303,692
174,0.393926,696
175,0.20184,700
176,0.378646,704
177,0.239755,708
178,0.411501,712
179,0.359007,716
180,0.252827,720
181,0.18341,724
182,0.524768,728
183,0.301,732
184,0.54905,736
185,0.214309,740
186,0.513403,744
187,0.540385,748
188,0.274262,752
189,0.515263,756
190,0.360128,760
191,0.248561,764
192,0.210154,768
193,0.223458,772
194,0.359685,776
195,0.40655,780
196,0.312496,784
197,0.24919,788
198,0.133797,792
199,0.260383,796
200,0.252733,800
201,0.336822,804
202,0.3449,808
203,0.244828,812
204,0.20129,816
205,0.279677,820
206,0.339958,824
207,0.368264,828
208,0.577855,832
209,0.206121,836
210,0.570099,840
211,0.139448,844
212,0.442296,848
213,0.265195,852
214,0.426739,856
215,0.341861,860
216,0.185206,864
217,0.485181,868
218,0.336463,872
219,0.344819,876
220,0.431137,880
221,0.148144,884
222,0.152905,888
223,0.378778,892
224,0.36221,896
225,0.423178,900
226,0.287149,904
227,0.302872,908
228,0.244455,912
229,0.213583,916
230,0.298568,920
231,0.302422,924
232,0.665579,928
233,0.341198,932
234,0.702062,936
235,0.211981,940
236,0.198392,944
237,0.396847,948
238,0.248316,952
239,0.355305,956
240,0.399175,960
241,0.474972,964
242,0.333867,968
243,0.664471,972
244,0.273977,976
245,0.2292,980
246,0.28014,984
247,0.294561,988
248,0.216913,992
249,0.787702,996
250,0.521166,1000
