step,loss,samples_processed
1,5.643658,8
2,6.274802,16
3,8.78959,24
4,6.382558,32
5,5.116163,40
6,5.692303,48
7,4.147307,56
8,1.622187,64
9,2.290535,72
10,1.553696,80
11,1.028906,88
12,0.999627,96
13,0.998768,104
14,0.786005,112
15,1.768794,120
16,1.083688,128
17,1.437387,136
18,0.792641,144
19,0.731442,152
20,0.861608,160
21,0.781612,168
22,0.623933,176
23,0.792034,184
24,0.590935,192
25,0.618681,200
26,0.906504,208
27,0.442722,216
28,0.955236,224
29,0.749411,232
30,0.638916,240
31,0.520061,248
32,0.477004,256
33,0.497861,264
34,0.702299,272
35,0.878594,280
36,0.466182,288
37,0.349563,296
38,0.395667,304
39,0.241149,312
40,0.297231,320
41,0.245438,328
42,0.249426,336
43,0.708569,344
44,0.670071,352
45,0.611201,360
46,0.355031,368
47,0.505204,376
48,0.326976,384
49,0.368757,392
50,0.277194,400
51,0.77228,408
52,0.448775,416
53,0.388553,424
54,0.217977,432
55,0.524796,440
56,0.257314,448
57,0.306601,456
58,0.477736,464
59,0.480459,472
60,0.182113,480
61,0.327268,488
62,0.853703,496
63,0.31565,504
64,0.359435,512
65,0.491083,520
66,0.137899,528
67,0.281469,536
68,0.215845,544
69,0.241975,552
70,0.453994,560
71,0.343691,568
72,0.390153,576
73,0.522091,584
74,0.384241,592
75,0.294707,600
76,0.586832,608
77,0.315508,616
78,0.491234,624
79,0.342629,632
80,0.577949,640
81,0.269643,648
82,0.322612,656
83,0.36419,664
84,0.519843,672
85,0.226075,680
86,0.247713,688
87,0.299004,696
88,0.689589,704
89,0.610471,712
90,0.381674,720
91,0.338939,728
92,0.186028,736
93,0.283849,744
94,0.468933,752
95,0.376125,760
96,0.257377,768
97,0.177348,776
98,0.542843,784
99,0.262912,792
100,0.398027,800
101,0.164349,808
102,0.463469,816
103,0.225879,824
104,0.395499,832
105,0.777422,840
106,0.149007,848
107,0.151333,856
108,0.34378,864
109,0.287297,872
110,0.432962,880
111,0.217601,888
112,0.282742,896
113,0.351802,904
114,0.363105,912
115,0.255397,920
116,0.412077,928
117,0.137907,936
118,0.521815,944
119,0.237854,952
120,0.490272,960
121,0.892544,968
122,0.355525,976
123,0.239507,984
124,0.11077,992
125,0.342782,1000
