step,compute_ms,comm_ms,data_ms,eval_ms,other_ms
0,13005.437,300.774,6349.077,0.0,29.821
1,9543.143,281.653,6.697,0.0,156.151
2,9521.773,284.406,6.391,0.0,3.545
3,9569.002,283.031,5.589,0.0,14.001
4,9522.216,289.012,11.479,0.0,8.503
5,10499.501,285.642,7.664,0.0,10.338
6,9519.745,281.643,9.401,0.0,10.837
7,9531.82,282.34,9.017,0.0,9.334
8,9522.918,281.655,9.083,0.0,8.935
9,9519.521,285.027,6.127,0.0,8.414
10,9538.247,282.4,5.979,0.0,15.213
11,9530.338,283.793,6.565,42629.376,35.454
12,9547.752,281.109,5.814,0.0,8.031
13,9544.908,282.406,6.502,0.0,13.367
14,9549.867,281.833,6.963,0.0,8.95
15,9546.615,281.348,11.64,0.0,9.401
16,9544.947,281.731,6.208,0.0,11.507
17,9543.302,282.252,6.148,0.0,10.922
18,9551.944,281.92,5.829,0.0,7.687
19,9547.17,281.183,6.557,0.0,8.01
20,9508.752,366.735,6.599,0.0,9.049
21,9532.993,282.076,6.696,0.0,16.625
22,9540.825,280.665,6.996,0.0,15.491
23,9547.452,281.396,11.885,0.0,11.298
24,9548.506,281.653,5.845,42677.968,21.034
25,9547.844,281.405,5.729,0.0,8.187
26,9544.731,282.258,6.336,0.0,8.359
27,9547.455,282.648,6.066,0.0,8.807
28,9543.012,282.041,5.819,0.0,9.138
29,9545.139,282.871,6.282,0.0,7.526
30,9543.994,281.725,6.416,0.0,9.422
31,9534.859,281.982,8.243,0.0,8.071
32,9540.368,282.652,32.592,0.0,8.36
33,9544.114,283.111,6.6,0.0,10.17
34,9497.661,360.146,6.22,0.0,9.769
35,9547.946,281.977,5.958,0.0,8.299
36,9546.946,281.693,6.211,0.0,8.101
37,9524.083,284.555,6.202,42660.234,21.892
38,9535.747,282.64,6.477,0.0,8.157
39,9522.139,283.065,6.319,0.0,16.261
40,9548.55,281.995,7.181,0.0,8.028
41,9546.929,280.803,6.71,0.0,8.745
42,9545.98,282.468,5.314,0.0,16.255
43,9538.19,283.125,6.379,0.0,13.502
44,9533.737,283.603,11.915,0.0,8.329
45,9537.851,282.118,5.951,0.0,7.381
46,9543.868,281.412,6.444,0.0,9.312
47,9542.996,281.998,5.839,0.0,18.05
48,9552.205,280.846,6.685,0.0,7.833
49,9525.434,282.641,6.256,42664.291,26.419
50,9540.626,281.142,5.651,0.0,9.266
51,9594.114,283.711,5.631,0.0,8.172
52,9548.623,281.218,6.254,0.0,7.721
53,9526.986,281.063,6.327,0.0,8.102
54,9542.672,280.647,5.673,0.0,7.911
55,9541.276,280.799,6.022,0.0,12.942
56,9544.123,280.556,6.236,0.0,7.627
57,9544.659,281.583,6.312,0.0,8.208
58,9542.241,280.953,6.576,0.0,14.562
59,9539.918,281.691,6.706,0.0,7.715
60,9533.428,282.358,6.144,0.0,9.112
61,9549.563,281.717,6.011,42676.277,27.796
62,9548.522,282.239,5.779,0.0,11.862
63,9542.97,282.143,6.29,0.0,8.419
64,9540.842,283.6,5.751,0.0,7.553
65,9542.417,280.844,7.353,0.0,7.595
66,9531.138,281.112,6.743,0.0,11.788
67,9712.488,281.757,5.993,0.0,16.37
68,9542.978,280.421,6.775,0.0,7.651
69,9546.614,282.466,6.729,0.0,8.783
70,9552.595,280.883,5.738,0.0,8.193
71,9536.367,282.454,33.883,0.0,8.395
72,9543.301,281.252,5.883,0.0,10.537
73,9534.158,282.514,5.632,0.0,9.84
74,9551.032,281.231,5.432,42676.249,23.678
75,9541.146,281.506,6.531,0.0,14.511
76,9534.202,283.054,7.142,0.0,8.584
77,9553.204,280.591,5.734,0.0,9.878
78,9545.833,281.345,6.968,0.0,13.567
79,9549.882,281.282,7.13,0.0,14.892
80,9541.707,282.968,8.318,0.0,7.61
