step,compute_ms,comm_ms,data_ms,eval_ms,other_ms
0,12839.493,301.832,6291.18,0.0,29.486
1,9536.304,281.602,5.902,0.0,148.874
2,9524.422,282.573,5.924,0.0,4.511
3,9541.32,283.157,6.142,0.0,8.964
4,9507.083,291.486,6.062,0.0,10.469
5,9510.152,283.155,5.791,0.0,14.566
6,9672.011,282.365,6.334,0.0,8.189
7,9514.696,285.91,7.84,0.0,7.919
8,9519.03,283.451,8.031,0.0,7.94
9,9523.696,281.507,8.949,0.0,7.873
10,9523.552,281.707,9.841,0.0,7.907
11,9524.285,282.245,6.567,0.0,25.121
12,9524.948,281.773,8.105,0.0,8.075
13,9471.633,390.626,6.345,0.0,8.054
14,9518.281,283.427,6.766,0.0,7.63
15,9521.447,285.459,5.856,0.0,7.626
16,9523.129,284.607,6.208,0.0,7.453
17,9508.725,286.985,5.789,0.0,8.052
18,9512.706,284.166,6.022,0.0,7.656
19,9513.004,284.377,7.039,0.0,7.829
20,9511.19,286.489,6.229,0.0,7.435
21,9564.089,282.765,5.921,0.0,7.571
22,9514.983,286.066,5.573,0.0,7.536
23,9518.482,283.076,5.918,0.0,7.933
24,9524.843,281.884,7.347,0.0,8.518
25,9512.018,283.882,6.749,0.0,8.377
26,9520.001,283.544,5.984,0.0,9.045
27,9514.2,283.364,6.912,0.0,7.567
28,9514.601,286.386,6.636,0.0,7.91
29,9527.392,282.001,6.165,0.0,8.082
30,9522.39,283.823,5.692,0.0,8.441
31,9517.973,282.989,5.602,0.0,8.061
32,9526.694,281.495,5.806,0.0,7.822
33,9535.99,281.38,5.819,0.0,7.581
34,9531.153,281.417,5.877,0.0,13.468
35,9530.559,281.956,8.8,0.0,13.596
36,9526.069,282.346,9.23,0.0,8.181
37,9510.748,284.685,5.85,0.0,8.291
38,9528.092,281.023,5.784,0.0,8.141
39,9511.313,285.019,5.315,0.0,8.036
40,9521.348,283.044,6.06,42537.705,28.621
41,9533.742,281.933,5.325,0.0,10.977
42,9538.229,281.224,5.365,0.0,8.055
43,9513.632,344.05,5.737,0.0,8.984
44,9526.715,281.53,5.48,0.0,8.453
45,9525.215,282.506,5.831,0.0,7.979
46,9532.279,281.979,5.626,0.0,7.95
47,9534.913,281.252,5.805,0.0,8.049
48,9549.224,282.963,6.058,0.0,7.352
49,9525.282,283.616,6.484,0.0,8.042
50,9507.963,285.084,6.834,0.0,8.197
51,9530.452,281.811,5.979,0.0,8.327
52,9534.872,282.844,5.747,0.0,7.907
53,9521.702,284.104,6.47,0.0,8.035
54,9522.611,283.673,5.845,0.0,10.032
55,9534.584,282.728,5.612,0.0,8.048
56,9531.333,282.328,6.163,0.0,13.341
57,9531.456,282.6,5.624,0.0,7.675
58,9514.882,284.651,5.943,0.0,7.801
59,9530.713,280.627,6.008,0.0,8.265
60,9541.216,282.074,13.368,0.0,8.101
61,9539.89,282.119,5.984,0.0,7.991
62,9534.938,280.907,5.863,0.0,8.208
63,9514.654,284.185,6.143,0.0,7.653
64,9527.726,281.463,6.339,0.0,7.907
65,9539.001,281.802,6.126,0.0,7.678
66,9532.055,281.731,5.792,0.0,8.101
67,9534.152,282.253,5.56,0.0,7.927
68,9534.769,281.396,5.884,0.0,7.949
69,9535.232,281.51,6.162,0.0,8.23
70,9537.597,282.119,5.995,0.0,7.999
71,9528.698,282.08,5.484,0.0,8.041
72,9537.159,281.911,5.991,0.0,8.221
73,9526.022,282.315,5.494,0.0,7.624
74,9529.118,281.964,6.105,0.0,7.855
75,9537.778,281.846,5.749,0.0,7.619
76,9520.642,286.628,6.057,0.0,8.432
77,9535.283,282.934,6.201,0.0,8.249
78,9543.661,281.187,5.676,0.0,7.788
79,9535.259,281.279,6.197,0.0,7.933
80,9535.61,282.847,5.669,0.0,7.724
81,9546.663,281.264,5.91,42649.364,21.869
82,9529.215,281.632,5.284,0.0,7.993
83,9529.88,283.164,5.936,0.0,8.391
84,9539.004,281.8,5.803,0.0,8.411
85,9537.491,281.952,5.399,0.0,7.971
86,9526.373,281.87,5.741,0.0,7.918
87,9520.541,285.568,5.894,0.0,7.96
88,9532.74,280.784,6.174,0.0,3.85
89,9543.946,281.925,5.802,0.0,8.0
90,9534.823,281.801,6.325,0.0,7.887
91,9528.647,281.805,5.794,0.0,8.205
92,9528.316,282.236,5.834,0.0,7.97
93,9531.561,281.823,6.073,0.0,8.03
94,9542.976,281.907,5.883,0.0,7.936
95,9539.837,280.86,6.554,0.0,8.024
96,9531.708,281.601,6.313,0.0,8.048
97,9524.032,284.478,5.753,0.0,7.608
98,9541.387,283.291,5.659,0.0,8.84
99,9518.399,280.376,5.681,0.0,8.053
100,9534.481,281.47,5.685,0.0,8.164
101,9535.258,283.058,6.193,0.0,8.193
102,9524.821,282.568,6.023,0.0,8.122
103,9541.295,282.644,5.49,0.0,7.34
104,9657.349,281.952,5.977,0.0,8.16
105,9533.13,281.745,5.915,0.0,7.409
106,9529.745,281.078,5.846,0.0,7.846
107,9520.977,282.097,5.997,0.0,12.474
108,9537.419,281.614,6.159,0.0,7.564
109,9533.432,280.902,6.138,0.0,8.113
110,9535.78,280.627,5.941,0.0,7.646
111,9535.14,284.021,6.062,0.0,8.122
112,9544.199,281.656,5.925,0.0,7.862
113,9527.754,281.722,5.986,0.0,7.986
114,9525.534,283.482,5.667,0.0,7.543
115,9535.039,282.56,6.183,0.0,12.124
116,9531.895,283.031,6.6,0.0,8.587
117,9538.307,281.585,5.9,0.0,10.466
