step,compute_ms,comm_ms,data_ms,eval_ms,other_ms
0,12653.812,0.0,31.66,0.0,26.83
1,9690.882,0.0,7.05,0.0,148.063
2,9668.539,0.0,7.027,0.0,8.423
3,9663.361,0.0,6.434,0.0,10.873
4,9670.494,0.0,6.534,0.0,5.142
5,9675.427,0.0,6.065,0.0,7.903
6,9673.947,0.0,6.035,0.0,8.312
7,9698.752,0.0,6.375,0.0,8.853
8,9661.632,0.0,5.788,0.0,9.523
9,9671.126,0.0,7.086,0.0,8.384
10,9668.65,0.0,6.276,0.0,13.112
11,9663.198,0.0,7.395,0.0,8.44
12,9690.637,0.0,8.773,0.0,8.854
13,9694.295,0.0,9.024,0.0,8.825
14,9697.335,0.0,8.625,0.0,16.026
15,9685.883,0.0,6.929,0.0,8.505
16,9694.913,0.0,5.976,0.0,8.858
17,9692.314,0.0,7.035,0.0,8.723
18,9701.552,0.0,8.041,0.0,9.003
19,9698.311,0.0,7.852,0.0,8.726
20,9706.378,0.0,8.46,0.0,8.567
21,9692.654,0.0,7.061,0.0,9.004
22,9707.647,0.0,7.169,0.0,8.556
23,9706.554,0.0,6.464,0.0,9.237
24,9706.486,0.0,5.655,85204.046,25.544
25,9708.131,0.0,6.233,0.0,8.248
26,9706.823,0.0,6.875,0.0,8.375
27,9684.337,0.0,5.578,0.0,8.748
28,9697.776,0.0,5.805,0.0,9.587
29,9703.294,0.0,6.956,0.0,8.729
30,9704.719,0.0,6.31,0.0,8.47
31,9699.805,0.0,5.457,0.0,8.665
32,9697.09,0.0,5.603,0.0,11.423
33,9688.35,0.0,5.749,0.0,8.274
34,9704.907,0.0,5.689,0.0,8.375
35,9706.267,0.0,6.418,0.0,8.638
36,9702.321,0.0,5.563,0.0,8.935
37,9691.7,0.0,7.062,0.0,8.317
38,9676.823,0.0,5.538,0.0,7.931
39,9688.882,0.0,6.173,0.0,8.76
40,9700.796,0.0,7.598,0.0,8.331
41,9703.608,0.0,5.926,0.0,9.093
42,9701.134,0.0,5.361,0.0,9.277
43,9690.562,0.0,5.55,0.0,14.189
44,9694.04,0.0,5.696,0.0,8.319
45,9701.597,0.0,6.07,0.0,8.191
46,9694.769,0.0,6.126,0.0,9.136
47,9700.325,0.0,6.867,0.0,8.997
48,9700.846,0.0,8.104,0.0,7.942
49,9699.668,0.0,5.904,85190.986,27.171
50,9706.451,0.0,5.637,0.0,7.978
51,9708.339,0.0,7.216,0.0,8.212
52,9703.179,0.0,5.786,0.0,8.449
53,9703.919,0.0,5.919,0.0,9.911
54,9705.018,0.0,6.608,0.0,9.63
55,9703.638,0.0,5.822,0.0,9.362
56,9706.731,0.0,6.007,0.0,8.297
57,9705.354,0.0,6.104,0.0,13.054
58,9705.216,0.0,5.868,0.0,9.026
59,9699.341,0.0,5.797,0.0,9.662
60,9705.346,0.0,5.873,0.0,8.693
61,9702.687,0.0,5.77,0.0,12.035
