step,compute_ms,comm_ms,data_ms,eval_ms,other_ms
0,11866.083,0.0,29.063,0.0,15.754
1,9678.833,0.0,5.332,0.0,105.821
2,9693.971,0.0,5.124,0.0,8.368
3,9677.997,0.0,5.374,0.0,8.339
4,9678.125,0.0,5.463,0.0,3.47
5,9669.406,0.0,5.364,0.0,7.917
6,9809.031,0.0,5.351,0.0,7.76
7,9704.967,0.0,6.121,0.0,8.07
8,9673.524,0.0,5.336,0.0,8.332
9,9680.537,0.0,5.637,0.0,7.567
10,9668.618,0.0,5.719,0.0,8.807
11,9675.73,0.0,5.415,0.0,8.002
12,9688.125,0.0,5.63,0.0,8.284
13,9679.702,0.0,5.587,0.0,7.771
14,9681.538,0.0,5.726,0.0,7.645
15,9684.421,0.0,5.009,0.0,7.971
16,9681.782,0.0,5.666,0.0,8.065
17,9694.263,0.0,5.42,0.0,8.111
18,9688.199,0.0,5.157,0.0,8.227
19,9680.678,0.0,5.6,0.0,8.258
20,9675.614,0.0,5.693,0.0,8.345
21,9687.15,0.0,5.304,0.0,8.0
22,9685.513,0.0,5.885,0.0,7.914
23,9688.132,0.0,5.948,0.0,8.437
24,9682.195,0.0,5.549,0.0,8.03
25,9688.971,0.0,6.095,0.0,8.575
26,9690.526,0.0,5.276,0.0,7.595
27,9701.763,0.0,5.48,0.0,8.064
28,9701.272,0.0,5.517,0.0,8.259
29,9702.596,0.0,5.651,0.0,8.39
30,9699.728,0.0,5.795,0.0,7.737
31,9700.333,0.0,6.01,0.0,8.444
32,9704.571,0.0,5.269,0.0,8.503
33,9692.611,0.0,5.625,0.0,8.692
34,9686.866,0.0,5.459,0.0,8.634
35,9689.862,0.0,5.647,0.0,7.922
36,9679.532,0.0,5.409,0.0,8.155
37,9704.759,0.0,5.628,0.0,8.063
38,9699.78,0.0,5.649,0.0,8.166
39,9691.772,0.0,6.174,0.0,8.183
40,9701.212,0.0,5.817,0.0,7.611
41,9706.255,0.0,6.101,0.0,8.058
42,9703.134,0.0,5.198,0.0,8.127
43,9690.816,0.0,5.365,0.0,8.282
44,9696.789,0.0,5.656,0.0,8.022
45,9710.168,0.0,5.69,0.0,7.876
46,9689.818,0.0,5.753,0.0,8.535
47,9692.381,0.0,5.32,0.0,8.361
48,9705.326,0.0,5.267,0.0,7.906
49,9689.08,0.0,5.434,0.0,7.987
50,9705.743,0.0,5.505,0.0,7.55
51,9705.15,0.0,5.486,0.0,8.373
52,9704.958,0.0,5.633,0.0,8.168
53,9706.904,0.0,5.428,0.0,8.073
54,9704.058,0.0,5.704,0.0,8.127
55,9708.173,0.0,5.606,0.0,7.704
56,9705.609,0.0,5.641,0.0,8.266
57,9704.219,0.0,5.483,0.0,8.593
58,9700.265,0.0,5.603,0.0,8.533
59,9842.001,0.0,5.511,0.0,7.979
60,9701.943,0.0,5.289,0.0,8.071
61,9706.493,0.0,5.311,0.0,8.244
62,9694.942,0.0,5.441,0.0,8.128
63,9702.794,0.0,6.049,0.0,8.411
64,9701.536,0.0,5.21,0.0,7.903
65,9704.87,0.0,5.341,0.0,7.922
66,9706.023,0.0,5.678,0.0,8.3
67,9704.289,0.0,5.445,0.0,7.891
68,9697.673,0.0,5.384,0.0,8.032
69,9708.495,0.0,6.103,0.0,8.394
70,9705.26,0.0,5.583,0.0,8.353
71,9707.262,0.0,5.676,0.0,8.152
72,9708.923,0.0,5.615,0.0,8.247
73,9707.559,0.0,5.621,0.0,8.29
74,9835.504,0.0,5.283,0.0,7.945
75,9703.047,0.0,5.396,0.0,8.326
76,9704.612,0.0,5.451,0.0,7.632
77,9706.567,0.0,5.563,0.0,8.493
78,9691.308,0.0,5.483,0.0,8.049
79,9699.443,0.0,5.605,0.0,7.939
80,9704.653,0.0,5.373,0.0,8.387
81,9702.121,0.0,5.596,85355.582,23.766
82,9704.997,0.0,5.442,0.0,8.622
83,9702.476,0.0,5.988,0.0,8.49
84,9709.166,0.0,5.196,0.0,8.34
85,9705.129,0.0,4.963,0.0,8.251
86,9706.73,0.0,5.391,0.0,8.175
87,9706.669,0.0,5.217,0.0,8.201
88,9705.718,0.0,5.412,0.0,8.146
89,9685.607,0.0,5.223,0.0,8.271
90,9704.596,0.0,5.288,0.0,8.108
91,9687.927,0.0,5.882,0.0,7.627
92,9702.873,0.0,5.586,0.0,8.511
93,9705.37,0.0,5.433,0.0,7.715
94,9708.555,0.0,5.452,0.0,8.054
95,9706.856,0.0,5.844,0.0,7.929
96,9701.335,0.0,5.66,0.0,9.655
97,9702.429,0.0,5.445,0.0,7.949
98,9702.02,0.0,5.494,0.0,8.433
99,9672.843,0.0,5.469,0.0,8.077
100,9701.357,0.0,5.802,0.0,7.87
101,9702.776,0.0,5.482,0.0,8.122
102,9704.948,0.0,5.068,0.0,8.406
103,9694.154,0.0,6.158,0.0,8.099
104,9699.121,0.0,5.139,0.0,8.047
105,9700.294,0.0,5.67,0.0,7.87
106,9690.055,0.0,5.866,0.0,7.739
107,9699.962,0.0,5.509,0.0,8.001
108,9696.546,0.0,5.623,0.0,8.212
109,9706.975,0.0,5.457,0.0,8.213
110,9704.898,0.0,5.589,0.0,8.253
111,9688.29,0.0,5.351,0.0,8.118
112,9703.523,0.0,5.458,0.0,8.295
113,9700.156,0.0,5.286,0.0,8.109
114,9688.529,0.0,5.537,0.0,8.024
115,9695.794,0.0,5.404,0.0,7.996
116,9703.385,0.0,5.224,0.0,8.165
117,9706.38,0.0,5.305,0.0,7.959
118,9705.634,0.0,5.756,0.0,8.592
119,9704.699,0.0,5.701,0.0,8.129
120,9849.478,0.0,5.895,0.0,7.896
121,9702.657,0.0,5.359,0.0,8.761
122,9708.661,0.0,5.446,0.0,8.033
123,9706.451,0.0,5.865,0.0,8.059
124,9705.884,0.0,5.081,0.0,8.305
125,9705.661,0.0,5.52,0.0,7.822
126,9701.151,0.0,5.552,0.0,8.109
127,9703.002,0.0,5.307,0.0,8.203
128,9702.394,0.0,5.758,0.0,8.173
129,9700.855,0.0,5.608,0.0,7.775
130,9699.301,0.0,6.081,0.0,7.823
131,9700.704,0.0,5.464,0.0,8.289
132,9701.92,0.0,5.417,0.0,8.362
133,9690.781,0.0,5.38,0.0,7.624
134,9703.224,0.0,5.866,0.0,7.952
135,9846.844,0.0,5.161,0.0,7.991
136,9704.894,0.0,5.37,0.0,8.166
137,9702.833,0.0,7.656,0.0,8.028
138,9703.459,0.0,7.163,0.0,7.913
139,9695.562,0.0,5.778,0.0,8.388
140,9697.931,0.0,5.472,0.0,8.119
141,9704.763,0.0,5.592,0.0,8.343
142,9704.615,0.0,5.505,0.0,8.204
143,9706.096,0.0,5.326,0.0,7.983
144,9707.153,0.0,5.679,0.0,7.989
145,9709.751,0.0,5.36,0.0,7.969
146,9686.494,0.0,5.849,0.0,8.297
147,9705.153,0.0,5.095,0.0,8.054
148,9705.691,0.0,5.837,0.0,7.962
149,9703.886,0.0,5.119,0.0,8.322
150,9820.926,0.0,5.728,0.0,7.861
151,9699.022,0.0,5.177,0.0,7.942
152,9676.106,0.0,5.745,0.0,8.099
153,9703.072,0.0,5.703,0.0,8.472
154,9695.484,0.0,5.447,0.0,7.788
155,9701.03,0.0,5.887,0.0,7.739
156,9708.475,0.0,5.515,0.0,7.998
157,9701.652,0.0,5.488,0.0,8.38
158,9704.201,0.0,5.481,0.0,7.62
159,9705.645,0.0,5.804,0.0,7.887
160,9707.374,0.0,5.422,0.0,7.61
161,9705.403,0.0,5.784,0.0,8.694
162,9704.808,0.0,5.405,0.0,8.278
163,9707.058,0.0,5.607,85310.46,20.843
164,9708.295,0.0,5.464,0.0,7.826
165,9708.072,0.0,6.151,0.0,8.461
166,9701.864,0.0,5.23,0.0,8.13
167,9703.839,0.0,5.525,0.0,7.916
168,9704.558,0.0,5.481,0.0,8.586
169,9701.922,0.0,5.242,0.0,8.315
170,9698.278,0.0,5.463,0.0,8.345
171,9699.932,0.0,5.115,0.0,8.095
172,9705.622,0.0,5.748,0.0,8.201
173,9684.537,0.0,5.499,0.0,8.221
174,9699.202,0.0,5.431,0.0,8.004
175,9698.419,0.0,5.47,0.0,8.187
176,9700.157,0.0,5.358,0.0,3.306
177,9694.057,0.0,5.111,0.0,8.085
178,9704.509,0.0,5.337,0.0,7.636
179,9707.351,0.0,5.711,0.0,8.443
180,9707.883,0.0,5.752,0.0,8.682
181,9697.806,0.0,5.622,0.0,8.261
182,9700.857,0.0,5.502,0.0,8.459
183,9704.738,0.0,5.882,0.0,7.888
184,9703.598,0.0,6.064,0.0,8.375
185,9700.235,0.0,5.467,0.0,7.611
186,9695.278,0.0,6.068,0.0,7.97
187,9702.406,0.0,5.816,0.0,7.85
188,9703.886,0.0,5.492,0.0,8.022
189,9705.709,0.0,5.666,0.0,8.104
190,9689.262,0.0,5.324,0.0,8.28
191,9702.979,0.0,5.14,0.0,8.371
192,9708.557,0.0,5.353,0.0,7.593
193,9700.272,0.0,5.543,0.0,8.325
194,9707.454,0.0,5.519,0.0,7.716
195,9706.508,0.0,5.15,0.0,8.375
196,9850.12,0.0,5.955,0.0,7.8
197,9706.728,0.0,5.377,0.0,7.952
198,9687.825,0.0,5.439,0.0,8.115
199,9702.818,0.0,5.673,0.0,8.216
200,9700.04,0.0,6.514,0.0,8.255
201,9707.636,0.0,5.155,0.0,8.139
202,9699.774,0.0,5.634,0.0,8.705
203,9693.75,0.0,5.515,0.0,8.356
204,9700.186,0.0,5.197,0.0,7.739
205,9697.986,0.0,5.759,0.0,7.928
206,9698.04,0.0,5.669,0.0,7.714
207,9691.772,0.0,5.739,0.0,8.054
208,9701.975,0.0,5.812,0.0,8.142
209,9692.963,0.0,5.534,0.0,11.914
210,9695.185,0.0,5.519,0.0,7.994
211,9701.809,0.0,5.49,0.0,7.846
212,9694.337,0.0,5.813,0.0,7.887
213,9702.289,0.0,6.44,0.0,8.062
214,9700.815,0.0,5.898,0.0,8.201
215,9706.913,0.0,5.317,0.0,8.394
216,9699.753,0.0,5.464,0.0,8.091
217,9711.376,0.0,6.159,0.0,8.526
218,9707.179,0.0,5.172,0.0,11.127
219,9687.1,0.0,5.599,0.0,8.017
220,9690.827,0.0,5.906,0.0,8.0
221,9697.32,0.0,5.639,0.0,8.114
222,9700.314,0.0,5.41,0.0,7.904
223,9703.051,0.0,5.766,0.0,8.905
224,9703.907,0.0,6.461,0.0,8.308
225,9704.143,0.0,5.666,0.0,8.977
226,9704.357,0.0,6.587,0.0,8.52
227,9682.307,0.0,5.505,0.0,8.104
228,9702.194,0.0,5.221,0.0,8.235
229,9708.646,0.0,5.357,0.0,8.075
230,9702.847,0.0,5.599,0.0,7.845
231,9700.576,0.0,6.161,0.0,8.127
232,9700.685,0.0,5.184,0.0,8.14
233,9697.339,0.0,5.762,0.0,8.371
234,9695.162,0.0,5.841,0.0,7.996
235,9705.11,0.0,5.409,0.0,7.97
236,9693.604,0.0,5.412,0.0,8.404
237,9708.659,0.0,5.246,0.0,7.959
238,9700.508,0.0,5.634,0.0,7.919
239,9695.67,0.0,5.526,0.0,8.082
240,9700.473,0.0,5.434,0.0,8.173
241,9691.426,0.0,5.061,0.0,8.1
242,9702.528,0.0,5.303,0.0,8.081
243,9710.115,0.0,5.279,0.0,7.973
244,9699.657,0.0,5.44,0.0,8.791
245,9705.679,0.0,5.764,0.0,8.27
246,9703.296,0.0,5.144,85197.226,21.853
247,9703.834,0.0,5.299,0.0,7.794
248,9682.782,0.0,5.706,0.0,8.196
249,9678.997,0.0,5.645,0.0,7.909
250,9698.837,0.0,5.789,0.0,8.254
251,9696.102,0.0,5.506,0.0,7.766
252,9706.976,0.0,5.502,0.0,8.313
253,9702.192,0.0,5.727,0.0,8.216
254,9705.78,0.0,5.384,0.0,8.408
255,9698.908,0.0,5.227,0.0,8.69
256,9857.603,0.0,5.585,0.0,8.093
257,9700.212,0.0,5.651,0.0,8.11
258,9703.662,0.0,5.384,0.0,8.15
259,9700.494,0.0,6.081,0.0,8.419
260,9681.105,0.0,6.46,0.0,8.088
261,9689.851,0.0,5.819,0.0,8.295
262,9692.154,0.0,5.931,0.0,8.333
263,9693.579,0.0,6.409,0.0,8.008
264,9681.952,0.0,6.323,0.0,8.325
265,9704.968,0.0,5.681,0.0,8.03
266,9705.934,0.0,6.066,0.0,8.054
267,9702.6,0.0,5.689,0.0,8.296
268,9694.601,0.0,5.522,0.0,8.44
269,9706.58,0.0,5.511,0.0,8.081
270,9697.201,0.0,5.487,0.0,8.306
271,9834.427,0.0,5.746,0.0,8.534
272,9697.033,0.0,5.349,0.0,8.019
273,9701.791,0.0,5.837,0.0,8.206
274,9706.117,0.0,5.447,0.0,8.445
275,9707.272,0.0,5.285,0.0,8.06
276,9704.417,0.0,5.375,0.0,7.554
277,9705.0,0.0,5.432,0.0,7.982
278,9708.064,0.0,5.542,0.0,8.026
279,9708.496,0.0,6.058,0.0,7.837
280,9701.515,0.0,5.921,0.0,8.166
281,9687.248,0.0,5.672,0.0,8.584
282,9702.261,0.0,5.672,0.0,8.361
283,9703.435,0.0,5.628,0.0,8.115
284,9685.779,0.0,5.822,0.0,8.156
285,9708.286,0.0,5.915,0.0,8.096
286,9836.183,0.0,5.338,0.0,8.172
287,9682.192,0.0,5.644,0.0,8.158
288,9699.394,0.0,5.357,0.0,8.057
289,9698.68,0.0,5.732,0.0,8.035
290,9706.401,0.0,5.426,0.0,8.092
291,9702.645,0.0,5.638,0.0,8.312
292,9702.625,0.0,6.665,0.0,9.011
293,9699.557,0.0,8.757,0.0,8.241
294,9692.261,0.0,7.502,0.0,8.114
295,9679.878,0.0,6.324,0.0,7.718
296,9694.192,0.0,5.657,0.0,8.735
297,9701.041,0.0,5.648,0.0,7.9
298,9703.413,0.0,5.512,0.0,7.985
299,9690.646,0.0,5.444,0.0,8.045
300,9685.476,0.0,5.629,0.0,8.23
301,9701.025,0.0,5.437,0.0,8.079
302,9701.818,0.0,5.583,0.0,7.873
303,9691.907,0.0,5.536,0.0,7.894
304,9699.456,0.0,5.543,0.0,8.154
305,9705.509,0.0,5.253,0.0,8.172
306,9692.23,0.0,5.496,0.0,8.564
307,9704.64,0.0,5.044,0.0,8.011
308,9707.072,0.0,5.438,0.0,7.643
309,9708.158,0.0,5.33,0.0,8.251
310,9706.243,0.0,5.815,0.0,7.734
311,9707.193,0.0,5.976,0.0,8.024
312,9705.225,0.0,5.554,0.0,7.884
313,9706.215,0.0,6.258,0.0,8.285
314,9691.075,0.0,5.208,0.0,7.957
315,9695.953,0.0,5.73,0.0,7.995
316,9709.03,0.0,5.504,0.0,8.2
317,9844.875,0.0,5.362,0.0,8.29
318,9696.144,0.0,5.262,0.0,8.056
319,9679.66,0.0,5.571,0.0,8.246
320,9702.477,0.0,5.393,0.0,8.126
321,9708.042,0.0,5.282,0.0,8.405
322,9692.583,0.0,5.29,0.0,7.809
323,9701.079,0.0,5.605,0.0,8.115
324,9708.942,0.0,5.615,0.0,8.07
325,9705.844,0.0,5.995,0.0,8.058
326,9710.234,0.0,5.486,0.0,7.597
327,9705.981,0.0,5.514,0.0,8.411
328,9709.754,0.0,5.586,85307.757,20.597
329,9698.651,0.0,5.375,0.0,8.364
330,9696.065,0.0,5.769,0.0,8.225
331,9687.218,0.0,5.424,0.0,7.981
332,9703.27,0.0,5.184,0.0,8.007
333,9698.289,0.0,5.641,0.0,7.95
334,9696.108,0.0,5.127,0.0,8.285
335,9704.112,0.0,5.597,0.0,8.35
336,9682.979,0.0,5.401,0.0,8.484
337,9703.069,0.0,5.453,0.0,8.119
338,9704.365,0.0,5.552,0.0,7.956
339,9697.531,0.0,5.458,0.0,8.188
340,9695.525,0.0,5.454,0.0,8.684
341,9696.582,0.0,5.868,0.0,8.207
342,9700.626,0.0,5.776,0.0,8.079
343,9701.434,0.0,5.525,0.0,8.508
344,9698.44,0.0,6.058,0.0,7.721
345,9702.829,0.0,6.134,0.0,7.964
346,9691.615,0.0,5.502,0.0,8.207
347,9691.297,0.0,5.176,0.0,8.049
348,9704.018,0.0,5.351,0.0,7.959
349,9703.013,0.0,5.508,0.0,8.142
350,9702.103,0.0,5.961,0.0,8.103
351,9695.802,0.0,5.399,0.0,7.94
352,9705.067,0.0,5.677,0.0,7.507
353,9697.854,0.0,5.527,0.0,8.464
354,9697.811,0.0,5.689,0.0,8.091
355,9699.579,0.0,5.484,0.0,8.183
356,9711.629,0.0,5.594,0.0,8.309
357,9705.703,0.0,5.411,0.0,8.399
358,9705.2,0.0,5.534,0.0,7.677
359,9693.449,0.0,5.473,0.0,8.341
360,9685.675,0.0,5.421,0.0,8.131
361,9697.971,0.0,5.641,0.0,7.747
362,9706.611,0.0,5.501,0.0,7.975
363,9692.398,0.0,5.784,0.0,8.436
364,9686.99,0.0,5.539,0.0,8.047
365,9700.524,0.0,5.863,0.0,7.812
366,9707.027,0.0,5.501,0.0,8.371
367,9706.094,0.0,5.496,0.0,8.307
368,9707.993,0.0,5.642,0.0,8.509
369,9706.557,0.0,5.549,0.0,8.033
370,9688.286,0.0,5.539,0.0,8.172
371,9708.494,0.0,5.637,0.0,8.134
372,9701.765,0.0,5.322,0.0,8.081
373,9713.306,0.0,5.639,0.0,8.052
374,9703.68,0.0,5.491,0.0,8.008
375,9697.793,0.0,5.121,0.0,7.899
376,9710.762,0.0,5.584,0.0,8.153
377,9707.944,0.0,5.485,0.0,8.238
378,9822.087,0.0,5.606,0.0,8.113
379,9706.244,0.0,5.587,0.0,8.329
380,9705.045,0.0,5.412,0.0,8.192
381,9686.031,0.0,5.835,0.0,8.257
382,9707.348,0.0,5.27,0.0,7.961
383,9701.569,0.0,5.383,0.0,7.932
384,9694.417,0.0,5.554,0.0,8.098
385,9709.249,0.0,5.853,0.0,8.4
386,9703.921,0.0,5.431,0.0,7.523
387,9709.973,0.0,6.005,0.0,9.778
388,9694.791,0.0,5.599,0.0,8.281
389,9683.115,0.0,5.254,0.0,8.241
390,9703.834,0.0,5.51,0.0,8.393
391,9686.822,0.0,5.464,0.0,8.193
392,9706.845,0.0,5.378,0.0,7.794
393,9838.303,0.0,5.335,0.0,7.963
394,9704.787,0.0,5.479,0.0,8.34
395,9694.814,0.0,5.261,0.0,8.843
396,9690.632,0.0,5.325,0.0,8.171
397,9685.168,0.0,5.166,0.0,8.128
398,9700.472,0.0,5.616,0.0,8.238
399,9692.133,0.0,5.505,0.0,7.751
400,9702.54,0.0,5.299,0.0,8.054
401,9705.828,0.0,5.655,0.0,8.452
402,9685.234,0.0,5.543,0.0,8.168
403,9692.156,0.0,5.936,0.0,7.805
404,9678.173,0.0,5.527,0.0,7.987
405,9700.581,0.0,5.428,0.0,8.571
406,9692.574,0.0,5.618,0.0,8.007
407,9678.71,0.0,5.611,0.0,8.408
408,9842.379,0.0,5.495,0.0,8.017
409,9681.69,0.0,5.27,0.0,8.06
410,9699.205,0.0,5.735,85302.921,20.848
411,9702.528,0.0,5.458,0.0,8.023
412,9708.792,0.0,5.614,0.0,8.424
413,9697.38,0.0,5.31,0.0,8.209
414,9700.432,0.0,5.241,0.0,7.964
415,9705.462,0.0,6.354,0.0,8.158
416,9707.864,0.0,5.841,0.0,8.132
417,9712.206,0.0,5.089,0.0,8.186
418,9705.19,0.0,5.997,0.0,8.061
419,9707.813,0.0,4.914,0.0,8.028
420,9705.468,0.0,6.095,0.0,8.303
421,9709.236,0.0,6.042,0.0,8.052
422,9707.621,0.0,5.574,0.0,8.207
423,9701.75,0.0,5.835,0.0,7.982
424,9709.336,0.0,5.636,0.0,7.733
425,9698.624,0.0,5.293,0.0,8.111
426,9698.814,0.0,5.563,0.0,7.994
427,9703.505,0.0,5.567,0.0,7.989
428,9702.125,0.0,5.312,0.0,8.019
429,9711.995,0.0,5.351,0.0,7.759
430,9705.195,0.0,5.443,0.0,7.718
431,9699.423,0.0,6.102,0.0,8.233
432,9684.103,0.0,5.328,0.0,8.136
433,9694.527,0.0,5.398,0.0,7.991
434,9680.453,0.0,5.574,0.0,8.114
435,9685.454,0.0,5.976,0.0,7.737
436,9699.098,0.0,5.524,0.0,8.177
437,9692.602,0.0,5.56,0.0,8.168
438,9845.631,0.0,5.547,0.0,8.297
439,9697.353,0.0,5.501,0.0,7.65
440,9700.429,0.0,5.852,0.0,8.102
441,9705.822,0.0,5.881,0.0,8.416
442,9710.509,0.0,5.359,0.0,8.072
443,9699.296,0.0,5.687,0.0,8.036
444,9699.616,0.0,6.113,0.0,8.242
445,9702.91,0.0,5.778,0.0,9.846
446,9698.36,0.0,5.477,0.0,8.354
447,9696.969,0.0,5.521,0.0,8.269
448,9703.236,0.0,5.349,0.0,8.204
449,9707.444,0.0,5.608,0.0,8.012
450,9701.063,0.0,5.869,0.0,8.419
451,9706.771,0.0,5.17,0.0,8.035
452,9706.916,0.0,5.695,0.0,8.239
453,9699.334,0.0,5.771,0.0,8.049
454,9708.29,0.0,5.431,0.0,8.034
455,9688.302,0.0,5.379,0.0,8.036
456,9706.776,0.0,5.351,0.0,7.964
