step,compute_ms,comm_ms
0,10687.375,831.541
1,9449.725,294.253
2,9432.778,304.815
3,9392.613,352.063
4,9426.325,337.607
5,9400.014,359.215
6,9443.08,321.777
7,9423.347,341.502
8,9446.296,300.514
9,9474.808,294.143
10,9450.367,303.349
11,9482.367,285.231
12,9440.384,314.954
13,9480.342,298.471
14,9385.691,385.296
15,9380.102,384.237
16,9377.113,385.564
17,9377.16,387.437
18,9385.878,379.427
19,9377.548,385.207
20,9380.882,385.722
21,9373.059,390.513
22,9380.694,383.978
23,9370.117,393.425
24,9371.757,393.313
25,9370.658,395.202
26,9377.313,387.859
27,9151.06,612.256
28,9582.601,280.986
29,9376.698,426.924
30,9389.977,389.26
31,9388.087,375.151
32,9367.307,387.185
33,9376.822,385.898
34,9372.331,391.772
35,9379.202,384.42
36,9379.617,384.851
37,9374.066,388.662
38,9374.069,387.801
39,9358.762,389.251
40,9371.407,392.465
41,9371.889,392.435
42,9408.196,355.382
43,9365.609,394.123
44,9376.183,388.145
45,9371.24,391.626
46,9359.375,391.774
47,9371.905,392.742
48,9361.634,388.701
49,9370.882,393.669
50,9376.546,389.163
51,9357.988,392.33
52,9378.609,385.539
53,9376.751,387.998
54,9378.53,383.883
55,9369.478,393.444
56,9361.358,389.525
57,9370.92,392.326
58,9371.727,393.665
59,9371.967,392.826
60,9370.941,394.548
61,9373.932,390.312
62,9373.54,390.874
63,9375.853,389.027
64,9373.067,388.09
65,9376.325,390.404
66,9375.167,390.305
67,9378.203,386.322
68,9376.997,386.696
69,9375.742,388.57
70,9375.582,387.077
71,9373.276,390.26
72,9376.924,387.873
73,9375.499,388.93
74,9379.541,385.447
75,9372.769,387.693
76,9371.804,394.445
77,9379.427,385.199
78,9372.363,390.011
79,9369.184,394.398
80,9371.811,392.898
81,9361.111,388.617
82,9373.265,390.058
83,9378.262,386.355
84,9369.656,394.414
85,9374.669,388.141
86,9357.995,390.401
87,9373.096,389.445
88,9374.311,387.9
89,9373.671,388.07
90,9380.093,382.577
91,9373.562,387.783
92,9377.627,385.69
93,9374.458,388.951
94,9375.873,385.191
95,9410.56,351.499
96,9466.243,388.626
97,9372.733,388.714
98,9356.317,391.997
99,9374.946,388.461
100,9370.416,392.045
101,9376.337,385.299
102,9375.981,385.599
103,9361.716,385.445
104,9373.325,388.81
105,9369.66,394.351
106,9375.66,387.013
107,9366.474,392.853
108,9371.931,391.733
109,9366.67,395.941
110,9468.35,295.915
111,9369.085,389.792
112,9375.588,388.848
113,9349.976,384.512
114,9378.442,384.71
115,9371.901,390.461
116,9369.929,393.402
117,9375.732,386.635
118,9376.75,384.856
119,9379.534,383.448
120,9379.595,383.128
121,9383.561,380.061
122,9388.441,375.329
123,9390.623,373.626
124,9761.687,0.0
